Address,Type,Return,Description,Progress
$808000,Code,Never,Start,
$8080F5,Code,RTI,V-Blank handler,
$8081A0,Code,RTS,,
$8081CC,Code,RTS,,
$808230,Code,RTL,,
$80824B,Code,RTS,,
$8082C8,Code,RTS,,
$8082E9,Code,RTS,,
$808302,Code,RTL,,
$808315,Code,RTL,,
$80832C,Code,RTL,,
$808344,Code,RTL,,
$808393,Code,RTI,IRQ Handler,
$808404,Code,RTL,,
$808458,Code,RTL,,
$8085DA,Code,RTL,,
$8085E2,Code,RTL,,
$8085EC,Code,RTL,,
$8085F6,Code,RTL,,
$8085FF,Code,RTL,,
$808606,Code,RTS,,
$80860C,Code,RTS,,
$808613,Code,RTL,,
$808622,Code,RTL,,
$80865A,Code,RTL,,
$808666,Code,RTL,,
$8086E9,Code,RTL,,
$808710,Code,RTL,,
$808808,Code,RTL,,
$808823,Code,RTL,,
$808828,Code,RTL,,
$80883F,Code,RTL,,
$80887C,Code,RTL,,
$808898,Code,RTL,,
$8088AF,Code,RTL,,
$808921,Code,RTL,,
$808938,Code,RTL,,
$80893F,Code,RTL,,
$808946,Code,RTL,,
$808950,Code,RTL,,
$808990,Code,RTL,,
$808993,Code,RTL,,
$8089BD,Code,RTL,,
$8089DB,Code,RTL,,
$808A53,Code,RTL,,
$808A7A,Code,RTL,,
$808A7C,Code,RTL,,
$808AB5,Code,RTL,,
$808ACA,Code,RTL,,
$808B6C,Code,RTS,,
$808B9C,Code,RTL,,
$808BB1,Code,RTL,,
$808BC2,Code,RTL,,
$808C2E,Code,RTS,,
$808C5A,Code,RTS,,
$808C86,Code,RTS,,
$808C9F,Code,RTL,,
$808CB3,Code,RTL,,
$808CFC,Code,RTL,,
$808D45,Code,RTL,,
$808D48,Code,RTL,,
$808D75,Code,RTL,,
$808D78,Code,RTL,,
$808D7B,Code,RTL,,
$808DBB,Code,RTL,,
$808DBE,Code,RTL,,
$808DF4,Code,RTL,,
$808E05,Code,RTL,,
$808E18,Code,RTL,,
$808E44,Code,RTL,,
$808E65,Code,RTL,,
$808E7C,Code,RTL,,
$808E97,Code,RTL,,
$808ED2,Code,RTL,,
$808F24,Code,RTL,,
$808F2C,Code,RTL,,
$808F67,Code,RTL,,
$808F6E,Code,RTL,,
$808F7F,Code,RTL,,
$808F86,Code,RTL,,
$808F94,Code,RTL,,
$808F9C,Code,RTL,,
$808FA4,Code,RTL,,
$808FAC,Code,RTL,,
$808FB4,Code,RTL,,
$808FBA,Code,RTL,,
$808FC0,Code,RTL,,
$808FD5,Code,RTL,,
$808FD8,Code,RTL,,
$809034,Code,RTL,,
$809054,Code,RTL,,
$80913A,Code,RTS,,
$809167,Code,RTS,,
$809169,Code,RTS,,
$809176,Code,RTS,,
$809179,Code,RTL,,
$80918E,Code,RTL,,
$8091A3,Code,RTL,,
$8091D1,Code,RTL,,
$8092BE,Code,RTS,,
$8092EB,Code,RTS,,
$8092ED,Code,RTS,,
$8092F3,Code,RTS,,
$8092F6,Code,RTL,,
$80934A,Code,RTL,,
$80936E,Code,RTL,,
$809493,Code,RTL,,
$809570,Code,RTL,,
$8095B5,Code,RTL,,
$80960F,Code,RTL,,
$80961D,Code,RTL,,
$809622,Code,RTL,,
$809625,Code,RTL,,
$80964E,Code,RTL,,
$809658,Code,RTL,,
$809663,Code,RTL,,
$809671,Code,RTL,,
$80969E,Code,RTL,,
$8096CB,Code,RTL,,
$8096F8,Code,RTL,,
$809725,Code,RTL,,
$80972B,Code,RTL,,
